id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
zUuCxukF,,Alex,Bono,DC,GK,250000.00,262500.00,2026,Spring
qbeKNHXl,,Brandon,Servania,DC,M,275000.00,303722.00,2026,Spring
NsDndaWJ,,Caden,Clark,DC,M,400000.00,432000.00,2026,Spring
KrVHaIQl,,Conner,Antley,DC,D,120000.00,121667.00,2026,Spring
7RKs0ylL,,Gabriel,Segal,DC,F,113400.00,113400.00,2026,Spring
irFiaUrm,,Gabriel,Cordeiro Pirani,DC,M,800000.00,866700.00,2026,Spring
EBQAzHKk,,Garrison,Tubbs,DC,D,113400.00,113400.00,2026,Spring
k4ily9Ex,,Gavin,Turner,DC,M,88025.00,110259.00,2026,Spring
bSqENvv6,,Grant,Leveille,DC,GK,88025.00,96750.00,2026,Spring
YMDXXJxv,,Hakim,Karamoko,DC,F,88025.00,88025.00,2026,Spring
wMXNs82w,,Hosei,Kijima,DC,M,113400.00,113400.00,2026,Spring
PQsEiNPq,,Jackson,Hopkins,DC,M,157500.00,157833.00,2026,Spring
GlktAQZo,,Jacob,Murrell,DC,F,113400.00,113400.00,2026,Spring
uisc2AB7,,Jared,Stroud,DC,F,425000.00,467500.00,2026,Spring
lOCMVP1V,,Joao Gabriel,Martins Peglow,DC,F,375000.00,626312.00,2026,Spring
UXZpIhkI,,Joon-hong,Kim,DC,GK,250000.00,349880.00,2026,Spring
BpNrBcDW,,Jordan,Farr,DC,GK,113400.00,118400.00,2026,Spring
GwjuAm2H,,Keisuke,Kurokawa,DC,D,550000.00,615500.00,2026,Spring
dFNvsaij,,Kye,Rowles,DC,D,550000.00,751667.00,2026,Spring
fuLDSOAp,,Louis,Munteanu,DC,F,1190000.00,1634100.00,2026,Spring
yBmQaXwb,,Lucas,Bartlett,DC,D,525000.00,585625.00,2026,Spring
SUWR5AvO,,Matti,Peltola,DC,M,800000.00,876000.00,2026,Spring
fHcXE9vi,,Nikola,Markovic,DC,D,88025.00,93858.00,2026,Spring
kPM7VGaE,,Oscar,Avilez,DC,F,88025.00,108966.00,2026,Spring
fUiB7mzg,,Richie,Aman,DC,M,88025.00,89025.00,2026,Spring
vH7Q3hQ8,,Sean,Johnson,DC,GK,883475.00,883475.00,2026,Spring
9bAypct4,,Sean,Nealis,DC,D,650000.00,723750.00,2026,Spring
JlgciTN5,,Silvan,Hefti,DC,D,370000.00,434833.00,2026,Spring
fg7xil2Z,,Tai,Baribo,DC,F,2100000.00,2349000.00,2026,Spring
cbB778fd,,Ademar,Chavez,CIN,M,88025.00,113840.00,2026,Spring
o8ZO9oaa,,Alvas,Powell,CIN,D,285000.00,325750.00,2026,Spring
t9UGiCwD,,Andrei,Chirila,CIN,D,88025.00,98373.00,2026,Spring
4FYdLHKB,,Ayoub,Jabbari,CIN,F,420000.00,474800.00,2026,Spring
a1D6UwOr,,Brian,Schaefer,CIN,D,113400.00,120067.00,2026,Spring
pQxQcWj3,,Bryan,Ramirez,CIN,F,435000.00,684100.00,2026,Spring
cqqiYNBY,,Ender,Echenique,CIN,F,356400.00,446580.00,2026,Spring
9dKHQdky,,Evan,Louro,CIN,GK,237500.00,259635.00,2026,Spring
fLd0sBIW,,Evander,da Silva Ferreira,CIN,M,3200000.00,4736411.00,2026,Spring
5V4w5iUL,,Fabian,Mrozek,CIN,GK,113400.00,150900.00,2026,Spring
Sia1l3XT,,Gerardo,Valenzuela,CIN,M,125000.00,142542.00,2026,Spring
5QuQwYG5,,Gilberto,Flores,CIN,D,390000.00,436672.00,2026,Spring
t96Ln7QO,,Kenji,Mboma Dem,CIN,F,88025.00,88025.00,2026,Spring
30qjppCT,,Kevin,Denkey,CIN,F,3800000.00,3810000.00,2026,Spring
bPviKfJA,,Kristian,Fletcher,CIN,F,113400.00,126733.00,2026,Spring
2SHhqU37,,Kyle,Smith,CIN,D,113400.00,118400.00,2026,Spring
TBAQssFN,,Matt,Miazga,CIN,D,1639000.00,1639000.00,2026,Spring
OU3XeUus,,Miles,Robinson,CIN,D,3500000.00,3950000.00,2026,Spring
sEOTzik0,,Nick,Hagglund,CIN,D,113400.00,130067.00,2026,Spring
2qtcLvFP,,Obinna,Nwobodo,CIN,M,1500000.00,1849724.00,2026,Spring
nMG5mdt3,,Paul,Walters,CIN,GK,113400.00,121367.00,2026,Spring
fNgT0Act,,Pavel,Bucha,CIN,M,499992.00,548774.00,2026,Spring
q7fRL2Il,,Roman,Celentano,CIN,GK,525000.00,574000.00,2026,Spring
b6hYN8Ii,,Samuel,Gidi,CIN,M,600000.00,671050.00,2026,Spring
Wm6GddDu,,Stefan,Chirila,CIN,F,113400.00,128180.00,2026,Spring
aqcxfJFT,,Stiven,Jimenez,CIN,M,113400.00,113400.00,2026,Spring
wZuPxPTP,,Tah,Anunga,CIN,M,250000.00,262500.00,2026,Spring
F6nUWsqS,,Teenage,Hadebe,CIN,D,1080000.00,1230000.00,2026,Spring
a5KTJz1m,,Tom,Barlow,CIN,F,113400.00,121733.00,2026,Spring
50FxrGjj,,Alvaro,Augusto,DAL,D,113400.00,125518.00,2026,Spring
UgZgjs5x,,Anderson,Julio,DAL,F,750000.00,820000.00,2026,Spring
msT5zMnT,,Bernard,Kamungo,DAL,F,250000.00,281000.00,2026,Spring
ZNA60b7P,,Brooks,Thompson,DAL,GK,113400.00,113400.00,2026,Spring
ak0rM97u,,Caleb,Swann,DAL,M,88025.00,88025.00,2026,Spring
8KzTKj32,,Christian,Cappis,DAL,M,352000.00,352000.00,2026,Spring
En5uPgEm,,Daniel,Baran,DAL,F,88025.00,102241.00,2026,Spring
qgM8HLQo,,Diego,Garcia,DAL,M,88025.00,101666.00,2026,Spring
7tJ25ky3,,Enes,Sali,DAL,F,350000.00,395000.00,2026,Spring
fuAigIgx,,Enzo,Newman,DAL,D,88025.00,88025.00,2026,Spring
6AU0Pnhn,,Geovane,de Jesus Rocha,DAL,D,400000.00,447000.00,2026,Spring
XyDIe5xC,,Herman,Johansson,DAL,M,600000.00,740000.00,2026,Spring
QL2k3xjQ,,Jaidyn,Contreras,DAL,F,88025.00,88025.00,2026,Spring
YlwjVq3C,,Joaquin,Valiente,DAL,M,400000.00,442022.00,2026,Spring
gY0fDx1X,,Jonathan,Sirois,DAL,GK,250000.00,267625.00,2026,Spring
aMN70kSq,,Joshua,Torquato,DAL,D,88025.00,96025.00,2026,Spring
gS4DHxHC,,Kaick,da Silva Ferreira,DAL,M,200000.00,251900.00,2026,Spring
E4jyeKHW,,Kaka,Scabin,DAL,D,88025.00,88025.00,2026,Spring
K7cgLD0t,,Lalas,Abubakar,DAL,D,460000.00,495000.00,2026,Spring
8JYq0Inb,,Logan,Farrington,DAL,F,350000.00,417000.00,2026,Spring
11SZnYUp,,Louicius,Deedson,DAL,F,400000.00,450319.00,2026,Spring
MMXFKPOg,,Michael,Collodi,DAL,GK,113400.00,125825.00,2026,Spring
adk5QXiu,,Nicholas,Simmonds,DAL,F,88025.00,102704.00,2026,Spring
R6mR7MO2,,Nolan,Norris,DAL,D,200000.00,218642.00,2026,Spring
4MGRRj4h,,Osaze,Urhoghide,DAL,D,580000.00,643982.00,2026,Spring
NRZEYYgp,,Patrickson,Delgado,DAL,M,260000.00,286280.00,2026,Spring
txfgX2ls,,Petar,Musa,DAL,F,2450000.00,2880000.00,2026,Spring
754E6kk4,,Ramiro,Moschen Benetti,DAL,M,575000.00,575000.00,2026,Spring
2RtRsHbx,,Ran,Binyamin,DAL,M,275000.00,302083.00,2026,Spring
ezDYKtiC,,Ricky,Louis,DAL,F,88025.00,88858.00,2026,Spring
0a5IzCQs,,Sam,Sarver,DAL,F,113400.00,113400.00,2026,Spring
ecpAlhSE,,Santiago,Moreno,DAL,F,803125.00,938387.00,2026,Spring
vkhtRPfO,,Sebastien,Ibeagha,DAL,D,730000.00,793625.00,2026,Spring
Y5ucZIis,,Shaq,Moore,DAL,D,800000.00,870000.00,2026,Spring
imWMwrga,,Slade,Starnes,DAL,D,88025.00,93472.00,2026,Spring
E8QZO7p9,,Tsiki,Ntsabeleng,DAL,M,230000.00,257000.00,2026,Spring
pyylo9bI,,Agustin,Resch,HOU,D,88025.00,88025.00,2026,Spring
qDTthNK5,,Agustin,Bouzat,HOU,M,624996.00,705746.00,2026,Spring
cRQmkMgq,,Antonio Carlos,Cunha Capocasali Junior,HOU,D,750000.00,832676.00,2026,Spring
IfYoG2EF,,Blake,Gillingham,HOU,GK,88025.00,88025.00,2026,Spring
8fA2WMYL,,Diadie,Samassekou,HOU,M,714996.00,771871.00,2026,Spring
S266WjhO,,Duane,Holmes,HOU,M,550000.00,628000.00,2026,Spring
88zo5xuT,,Erik,Sviatchenko,HOU,D,850000.00,925000.00,2026,Spring
yAeFI7GM,,Exon,Arzu,HOU,F,113400.00,117998.00,2026,Spring
XlzS682I,,Ezequiel,Ponce,HOU,F,2738012.00,3000212.00,2026,Spring
WG9xcvYM,,Felipe,de Andrade Vieira,HOU,D,225000.00,252500.00,2026,Spring
O046O9LQ,,Franco,Negri,HOU,D,113400.00,115605.00,2026,Spring
t5UGToSE,,Guilherme Augusto,Vieira dos Santos,HOU,F,1528572.00,1925230.00,2026,Spring
qtMQ8X19,,Hector,Herrera,HOU,M,525000.00,568750.00,2026,Spring
nStSy0l0,,Ibrahim,Aliyu,HOU,F,525000.00,576379.00,2026,Spring
AkosKAMk,,Jack,McGlynn,HOU,M,776000.00,910320.00,2026,Spring
nBaqB0wd,,Jimmy,Maurer,HOU,GK,225000.00,225000.00,2026,Spring
cJFCbVm5,,Jonathan,Bond,HOU,GK,750000.00,809704.00,2026,Spring
