firstname,lastname,club,position,basesalary,guaranteedcomp
Lalas,Abubakar,DAL,D,"$460,000.00","$495,000.00"
Logan,Farrington,DAL,F,"$350,000.00","$417,000.00"
Louicius,Deedson,DAL,F,"$400,000.00","$450,319.00"
Michael,Collodi,DAL,GK,"$113,400.00","$125,825.00"
Nicholas,Simmonds,DAL,F,"$88,025.00","$102,704.00"
Nolan,Norris,DAL,D,"$200,000.00","$218,642.00"
Osaze,Urhoghide,DAL,D,"$580,000.00","$643,982.00"
Patrickson,Delgado,DAL,M,"$260,000.00","$286,280.00"
Petar,Musa,DAL,F,"$2,450,000.00","$2,880,000.00"
Ramiro,Moschen Benetti,DAL,M,"$575,000.00","$575,000.00"
Ran,Binyamin,DAL,M,"$275,000.00","$302,083.00"
Ricky,Louis,DAL,F,"$88,025.00","$88,858.00"
Sam,Sarver,DAL,F,"$113,400.00","$113,400.00"
Santiago,Moreno,DAL,F,"$803,125.00","$938,387.00"
Sebastien,Ibeagha,DAL,D,"$730,000.00","$793,625.00"
Shaq,Moore,DAL,D,"$800,000.00","$870,000.00"
Slade,Starnes,DAL,D,"$88,025.00","$93,472.00"
Tsiki,Ntsabeleng,DAL,M,"$230,000.00","$257,000.00"
Agustin,Resch,HOU,D,"$88,025.00","$88,025.00"
Agustín,Bouzat,HOU,M,"$624,996.00","$705,746.00"
Antônio Carlos,Cunha Capocasali Junior,HOU,D,"$750,000.00","$832,676.00"
Blake,Gillingham,HOU,GK,"$88,025.00","$88,025.00"
Diadié,Samassékou,HOU,M,"$714,996.00","$771,871.00"
Duane,Holmes,HOU,M,"$550,000.00","$628,000.00"
Erik,Sviatchenko,HOU,D,"$850,000.00","$925,000.00"
Exon,Arzú,HOU,F,"$113,400.00","$117,998.00"
Ezequiel,Ponce,HOU,F,"$2,738,012.00","$3,000,212.00"
Felipe,de Andrade Vieira,HOU,D,"$225,000.00","$252,500.00"
Franco,Negri,HOU,D,"$113,400.00","$115,605.00"
Guilherme Augusto,Vieira dos Santos,HOU,F,"$1,528,572.00","$1,925,230.00"
Héctor,Herrera,HOU,M,"$525,000.00","$568,750.00"
Ibrahim,Aliyu,HOU,F,"$525,000.00","$576,379.00"
Jack,McGlynn,HOU,M,"$776,000.00","$910,320.00"
Jimmy,Maurer,HOU,GK,"$225,000.00","$225,000.00"
Jonathan,Bond,HOU,GK,"$750,000.00","$809,704.00"
José Artur,de Lima Júnior,HOU,M,"$875,004.00","$958,379.00"
