id,playerid,firstname,lastname,club,position,basesalary,guaranteedcomp,recordyear,recordseason
clXFtAJU,,Matthew,Edwards,ATL,D,80622.00,80622.00,2025,Fall
G6crTf30,,Nyk,Sessock,ATL,D,104000.00,104000.00,2025,Fall
zMiOYMAO,,Ronald,Hernandez,ATL,D,275000.00,290750.00,2025,Fall
vN1SRHb9,,Brooks,Lennon,ATL,D,740000.00,740000.00,2025,Fall
ojVhYa41,,Micah,Burton,ATX,M,104000.00,115000.00,2025,Fall
szXQN5rD,,Brandon,Vazquez,ATX,F,3200000.00,3551778.00,2025,Fall
dsDobz0a,,Diego,Rubio,ATX,F,208000.00,208000.00,2025,Fall
nh4R5bEW,,Brendan,Hines-Ike,ATX,D,325000.00,325000.00,2025,Fall
1RpYxGTa,,Julio,Cascante,ATX,D,780000.00,853750.00,2025,Fall
ZW4cyAHo,,Oleksandr,Svatok,ATX,D,500000.00,505000.00,2025,Fall
vrb1rO0Z,,Mateja,Djordjevic,ATX,D,337500.00,347500.00,2025,Fall
GhPeEXnH,,Nicolas,Dubersarsky,ATX,M,275000.00,297986.00,2025,Fall
EbEZYaY3,,Besard,Sabovic,ATX,M,550000.00,550000.00,2025,Fall
PzSXZlA1,,Owen,Wolff,ATX,M,208000.00,221600.00,2025,Fall
BfCvmJ2B,,Daniel,Pereira,ATX,M,475000.00,514375.00,2025,Fall
Qm9CmtIq,,Ilie,Sanchez,ATX,M,600000.00,600000.00,2025,Fall
J8BG3RKi,,Stefan,Cleveland,ATX,GK,250000.00,274167.00,2025,Fall
3KxOfRXc,,Brad,Stuver,ATX,GK,484500.00,507313.00,2025,Fall
uMRj7kGx,,Damian,Las,ATX,GK,125000.00,125000.00,2025,Fall
4kVZKX1r,,Myrto,Uzuni,ATX,F,1520000.00,2225000.00,2025,Fall
8uaYJyFj,,CJ,Fodrey,ATX,F,104000.00,108000.00,2025,Fall
M694OshX,,Robert,Taylor,ATX,F,575000.00,633333.00,2025,Fall
1BX8dih5,,Guilherme,da Trindade Dubas,ATX,D,275000.00,275000.00,2025,Fall
3Z7f8xuc,,Zan,Kolmanic,ATX,D,350000.00,350000.00,2025,Fall
qYSVMStV,,Osman,Bukari,ATX,F,1500000.00,1500000.00,2025,Fall
ZRE5f2ZQ,,Jimmy,Farkarlun,ATX,F,80622.00,80622.00,2025,Fall
t61mXaQL,,Jader,Obrian,ATX,F,450000.00,505401.00,2025,Fall
tLUaZdfL,,Mikkel,Desler,ATX,D,550000.00,550000.00,2025,Fall
wAvxgnkx,,Jon,Gallagher,ATX,D,375000.00,375000.00,2025,Fall
lVgTFfnf,,Riley,Thomas,ATX,D,80622.00,80622.00,2025,Fall
4pNuqcSb,,Bryce,Duke,MTL,M,350000.00,431875.00,2025,Fall
aYlpT9pA,,Olger,Escobar,MTL,M,80622.00,86018.00,2025,Fall
H3NP5NJb,,Ivan,Jaime,MTL,M,1800000.00,1991200.00,2025,Fall
KI6G70yX,,Matias,Coccaro,MTL,F,800000.00,888000.00,2025,Fall
hyXsZvXA,,Sunusi,Ibrahim,MTL,F,350000.00,410000.00,2025,Fall
lmz2Di9E,,Owen,Graham-Roache,MTL,F,80622.00,86512.00,2025,Fall
4gBmCxg4,,Giacomo,Vrioni,MTL,F,2000000.00,2247500.00,2025,Fall
L6MsNfR8,,Prince,Owusu,MTL,F,900000.00,1007500.00,2025,Fall
ySW6Q2x3,,Fernando,Alvarez,MTL,D,275000.00,307500.00,2025,Fall
07pmnZPg,,Brandan,Craig,MTL,D,80622.00,90427.00,2025,Fall
TPwR6SEp,,Efrain,Morales,MTL,D,104000.00,112019.00,2025,Fall
Ci9buwVY,,Jalen,Neal,MTL,D,600000.00,681250.00,2025,Fall
Cxd3racg,,Matty,Longstaff,MTL,M,312000.00,331869.00,2025,Fall
W9AJKEYI,,Victor,Loturi,MTL,M,80622.00,92122.00,2025,Fall
4DIT1UIN,,Alessandro,Biello,MTL,M,80622.00,80622.00,2025,Fall
Z8hlV9BM,,Samuel,Piette,MTL,M,535250.00,561016.00,2025,Fall
tLaUatGM,,Jonathan,Sirois,MTL,GK,275000.00,292625.00,2025,Fall
eHVltkvb,,Thomas,Gillier,MTL,GK,445000.00,487000.00,2025,Fall
rw9r98XR,,Sebastian,Breza,MTL,GK,104000.00,104000.00,2025,Fall
qJmGdjTn,,Emil,Gazdov,MTL,GK,80622.00,88769.00,2025,Fall
X2tMW4X7,,Dante,Sealy,MTL,F,104000.00,122022.00,2025,Fall
D4Xi2bUn,,Luca,Petrasso,MTL,D,104000.00,119136.00,2025,Fall
mrCCftiT,,Fabian,Herbers,MTL,F,400000.00,440000.00,2025,Fall
lY1pM3FM,,Gennadiy,Synchuk,MTL,F,600000.00,606000.00,2025,Fall
SwT5XBd3,,Kwadwo Mahala,Opoku,MTL,F,458333.00,598560.00,2025,Fall
r9V63cLc,,Dawid,Bugaj,MTL,D,240000.00,267600.00,2025,Fall
yokjd89m,,Yuri,Guboglo,MTL,D,80622.00,86311.00,2025,Fall
OBJgj0qB,,Bode,Hidalgo,MTL,D,275000.00,305800.00,2025,Fall
GoH71fLK,,Pep,Biel,CLT,M,1300000.00,1540563.00,2025,Fall
lIs83Idy,,Idan,Toklomati,CLT,F,415000.00,452700.00,2025,Fall
hJq5EuTz,,Archie,Goodwin,CLT,F,300000.00,341187.00,2025,Fall
iZgs8vjP,,Tim,Ream,CLT,D,1000000.00,1127750.00,2025,Fall
MIFAdwMJ,,Adilson,Malanda,CLT,D,900000.00,900000.00,2025,Fall
M8SNhT1l,,Jack,Neeley,CLT,D,104000.00,106000.00,2025,Fall
CzzoS2Oc,,Bill,Tuiloma,CLT,D,500000.00,524938.00,2025,Fall
E8uDntxH,,Andrew,Privett,CLT,D,220000.00,251400.00,2025,Fall
2Pi9pXws,,Eryk,Williamson,CLT,M,775000.00,775000.00,2025,Fall
xJyRGeC1,,Brandt,Bronico,CLT,M,350000.00,389000.00,2025,Fall
ly4YmKW1,,Baye,Coulibaly,CLT,M,240000.00,269500.00,2025,Fall
iQjiaeNm,,Djibril,Diani,CLT,M,300000.00,337944.00,2025,Fall
MHHUq58N,,Nikola,Petkovic,CLT,M,420000.00,466250.00,2025,Fall
SYmWqdjY,,Ashley,Westwood,CLT,M,750000.00,783333.00,2025,Fall
cxMb5n0p,,David,Bingham,CLT,GK,104000.00,104000.00,2025,Fall
8sGKBbbv,,Drake,Callender,CLT,GK,399996.00,455913.00,2025,Fall
zesioI7K,,Nick,Holliday,CLT,GK,80622.00,80622.00,2025,Fall
T8an1ezH,,Kristijan,Kahlina,CLT,GK,750000.00,788750.00,2025,Fall
AFttB20q,,Chituru,Odunze,CLT,GK,104000.00,117508.00,2025,Fall
YsODM5xQ,,Wilfried,Zaha,CLT,F,2666667.00,2751667.00,2025,Fall
7hKtSaGG,,Kerwin,Vargas,CLT,F,600000.00,683750.00,2025,Fall
UpQwea2r,,Tyger,Smalls,CLT,F,80622.00,80622.00,2025,Fall
4dGQiIoD,,Nimfasha,Berchimas,CLT,F,110000.00,124934.00,2025,Fall
C6JmElUe,,Mikah,Thomas,CLT,D,80622.00,81025.00,2025,Fall
eOyyLbeJ,,Harry,Toffolo,CLT,D,900000.00,1020000.00,2025,Fall
olMAfJrs,,Jahlane,Forbes,CLT,D,80622.00,80622.00,2025,Fall
