playerid,firstname,lastname
6vWVAb,Saragosa,Marcelo
6We2WH,Gomez,Christian
6wFdNd,Angel,Juan Pablo
6wLo0p,Urhoghide,Osaze
6WuHrx,Tajouri-Shradi,Ismael
6WWpl4,Benitez,Miguel
6xbrC5,Vera,Matias
6XPknv,Caicedo,Deiber
6XXjIQ,Shaqiri,Xherdan
6YJNSC,Phillips,Demar
6zmywV,Greene,Jacob
705d11,Gressel,Julian
726Ajf,Steeves,Mac
72H2pR,Alexander,Eric
72yoWu,Muriel,Luis
73JPxx,Sorenson,Anthony
73lQYs,Stephens,Michael
775W2n,Hairston,Marlon
77gTXx,Micovic,Novak
77OMIY,Hoppenot,Antoine
77V24C,Traore,Diedie
78Dpi5,Mueller,Chris
78dQ84,Traustason,Arnor
79h95c,Gehrig,Eric
79o1MH,Van Oekel,Matt
79OJAO,Santos,Sergio
79tAju,Berry,Miguel
79wmUl,Joyce,Ian
7abcCc,Rafanello,Jeremy
7BgMMM,Paredes,Kevin
7d29Ie,Ford,Kortne
7dfw4z,Murphy,James
7dJXAM,Pacius,Woobens
7eovZN,Harvey,Jordan
7ETOHO,Sobocinski,Jan
7fUoAF,Moreira,Steven
7gI9ew,Dunn,Julian
7HSz50,Schuller,Rasmus
7hyAFo,Schon,Szabolcs
7IDAov,Campos,Pablo
7jbQSc,Diop,Ibrahim
7jqtkV,Nascimento de Paula,Matheus
7JWTid,Jones,Nate
7ls2V1,Judge,Thomas
7mP8NJ,Nelson,Jayden
7nJqUN,Donadel,Marco
7nkdxl,Arce,Miguel
7NRAI1,Morales,Alfredo
7o4keP,Mosquera,Juan
7OCQuv,Marinelli,Carlos
7owidh,Doody,Patrick
7pc6rF,Tracy,Marcus
7PjOd3,Jaime,Sebastian
7QChFP,Beaudry,Adam
7qiIIP,Hercegfalvi,Zoltan
7qnFIC,Kennedy,Dan
7ry73S,Isimat-Mirin,Nicolas
7SpHUr,Ibrahim,Fuad
7sZdMC,Cowell,Chance
7tQInU,Rosenlund,Tyler
7u0ZtV,Nyassi,Sainey
7uHJHu,Gioacchini,Nicholas
