RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
NfihTUgi,nCSTUZ,SJ,M,"320000.00","325000.00",2020
sFyFjuwB,nCSTUZ,SJ,M,"360000.00","365000.00",2021
hucjjUGH,nCSTUZ,SJ,M,"420000.00","425000.00",2022
crrPEJGF,nCSTUZ,SJ,D-M,"250000.00","250000.00",2023
MGRKcZMc,wUbLIQ,KC,D,"48500.0","48500.0",2014
TBy54h1o,wUbLIQ,KC,D,"100008.0","115008.0",2017
DH9YcTKp,goXlWO,RSL,F-M,"402000.00","485875.00",2021
GPBbQ4A9,goXlWO,RSL,F-M,"750000.00","820000.00",2022
a388gISo,goXlWO,RSL,M,"750000.00","820000.00",2023
3CTLqZdv,goXlWO,RSL,F,"750000.00","820000.00",2024
rD7TNLAk,goXlWO,DAL,F,"750000.00","820000.00",2025 Sp
4oHAQ14q,EoHHD3,CHI,D,"33750.0","33750.0",2012
jfxCLaF6,EoHHD3,CHI,D,"35125.0","35125.0",2013
2fU2sNC9,EoHHD3,CHI,D,"48500.0","48500.0",2014
PrFLdUXU,jQ4Pau,MNUFC,M,"131000.00","168039.00",2025 Sp
pIVhNYGq,vj3OxX,CLB,D,"12900.0","12900.0",2007
GJIvvY4V,vj3OxX,CLB,D,"12900.0","12900.0",2008
o3gEBLS3,gzRETw,SJ,D-M,"450000.0","516667.07",2017
PrNoFw9j,gzRETw,SJ,D-M,"500004.00","566671.07",2018
iw4YCsJ9,gzRETw,SJ,D-M,"550008.00","616675.07",2019
2IUmli1v,gzRETw,SJ,D-M,"525000.00","567667.00",2020
WJ67XRyY,gzRETw,VAN,D-M,"525000.00","567667.00",2021
NjZrgaOJ,gzRETw,VAN,D-M,"550000.00","592667.00",2022
5trzTAa9,E2NSYY,LA,M,"70000.0","80000.0",2010
8EuIrsQu,E2NSYY,LA,M,"90000.0","100000.0",2011
I9P4fvJP,E2NSYY,LA,M,"50000.0","65625.0",2012
5QG98LKH,E2NSYY,LA,M,"290000.0","290000.0",2013
6QNIBobt,E2NSYY,LA,M,"325000.0","325000.0",2014
DpA05CkS,E2NSYY,LA,M,"350000.0","350000.0",2015
jqEBvQMr,E2NSYY,CHI,M,"700008.0","716674.67",2017
AEjAeVIz,E2NSYY,LA,M,"150000.00","163125.00",2019
7MrfvJLw,BxXPF1,TOR,F,"1145000.0","1205000.0",2014
KVdUOnrW,BxXPF1,CHI,F,"1144992.0","1144992.0",2015
EMXGH8Qn,BxXPF1,CHI,F,"1145000.0","1145000.0",2016
nLIpdha0,UcYnPf,HOU,D,"56250.00","56250.00",2019
3Npu7JnV,UcYnPf,HOU,D,"63547.00","63547.00",2020
fYGM1xAh,UcYnPf,HOU,D,"81375.00","81375.00",2021
tSOhwsiW,UcYnPf,HOU,D,"89513.00","89513.00",2022
b3ywzP1D,UcYnPf,DAL,D,"85444.00","93777.00",2023
baEicUNw,UcYnPf,DAL,D,"200000.00","212368.00",2024
yZQPyPmp,UcYnPf,RSL,D,"300000.00","312368.00",2025 Sp
ABcdPEae,AFaGLo,MNUFC,M,"264000.0","288100.0",2017
