FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Justin,Reynolds,Chicago Fire,D,"104,000.00","104,000.00"
Sam,Rogers,Chicago Fire,D,"120,000.00","143,000.00"
Carlos,Terán,Chicago Fire,D,"579,000.00","669,000.00"
Robert,Turdean,Chicago Fire,M,"80,622.00","113,549.00"
Sam,Williams,Chicago Fire,M,"80,622.00","91,951.00"
Philip,Zinckernagel,Chicago Fire,F,"1,450,750.00","1,631,290.00"
Daouda,Amadou,Colorado Rapids,M,"80,622.00","80,622.00"
Josh,Atencio,Colorado Rapids,M,"350,000.00","350,000.00"
Chidozie,Awaziem,Colorado Rapids,D,"1,272,000.00","1,397,675.00"
Sam,Bassett,Colorado Rapids,M,"80,622.00","80,622.00"
Cole,Bassett,Colorado Rapids,M,"850,000.00","850,000.00"
Adam,Beaudry,Colorado Rapids,GK,"104,000.00","106,500.00"
Kévin,Cabral,Colorado Rapids,F,"2,100,000.00","2,100,000.00"
Reggie,Cannon,Colorado Rapids,D,"750,000.00","841,500.00"
Michael,Edwards,Colorado Rapids,D,"160,000.00","160,000.00"
Ali,Fadal,Colorado Rapids,M,"80,622.00","80,622.00"
Wayne,Frederick,Colorado Rapids,M,"104,000.00","104,000.00"
Nicolas,Hansen,Colorado Rapids,GK,"80,622.00","80,622.00"
Alex,Harris,Colorado Rapids,F,"80,622.00","82,622.00"
Calvin,Harris,Colorado Rapids,F,"150,000.00","152,000.00"
Bryce,Jamison,Colorado Rapids,F,"104,000.00","116,466.00"
Nate,Jones,Colorado Rapids,D,"80,622.00","80,622.00"
Theodore,Ku-DiPietro,Colorado Rapids,M,"400,000.00","456,000.00"
Oliver,Larraz,Colorado Rapids,M,"125,000.00","130,625.00"
Andreas,Maxsø,Colorado Rapids,D,"1,200,000.00","1,392,500.00"
Djordje,Mihailovic,Colorado Rapids,M,"1,450,000.00","1,775,000.00"
Ian,Murphy,Colorado Rapids,D,"400,000.00","447,500.00"
Rafael,Navarro Leal,Colorado Rapids,F,"1,392,000.00","1,449,600.00"
Connor,Ronan,Colorado Rapids,M,"490,000.00","542,400.00"
Keegan,Rosenberry,Colorado Rapids,D,"400,000.00","400,000.00"
Zack,Steffen,Colorado Rapids,GK,"1,000,000.00","1,000,000.00"
Kimani,Stewart-Baynes,Colorado Rapids,F,"90,000.00","91,000.00"
Jackson,Travis,Colorado Rapids,D,"104,000.00","106,500.00"
Sam,Vines,Colorado Rapids,D,"900,000.00","912,500.00"
Darren,Yapi,Colorado Rapids,F,"104,000.00","114,833.00"
Ibrahim,Aliyu,Columbus Crew,F,"474,996.00","526,375.00"
Malte,Amundsen,Columbus Crew,D,"624,996.00","697,496.00"
Max,Arfsten,Columbus Crew,F,"350,000.00","389,375.00"
Evan,Bush,Columbus Crew,GK,"104,000.00","104,000.00"
Rudy,Camacho,Columbus Crew,D,"525,000.00","601,000.00"
Dylan,Chambost,Columbus Crew,M,"450,000.00","557,219.00"
Yevgen,Cheberko,Columbus Crew,D,"610,000.00","658,250.00"
Mohamed,Farsi,Columbus Crew,M,"425,000.00","455,000.00"
Dániel,Gazdag,Columbus Crew,M,"2,000,004.00","2,597,643.00"
Taha,Habroune,Columbus Crew,M,"104,000.00","116,000.00"
Nicholas,Hagen,Columbus Crew,GK,"104,000.00","122,600.00"
Andrés,Herrera,Columbus Crew,D,"650,000.00","737,158.00"
AZ,Jackson,Columbus Crew,M,"104,000.00","107,982.00"
Derrick,Jones,Columbus Crew,M,"350,000.00","387,500.00"
Stanislav,Lapkes,Columbus Crew,GK,"80,622.00","99,712.00"
Lassi,Lappalainen,Columbus Crew,F,"325,000.00","368,750.00"
Steven,Moreira,Columbus Crew,D,"820,000.00","902,000.00"
Cole,Mrowka,Columbus Crew,M,"80,622.00","100,630.00"
Darlington,Nagbe,Columbus Crew,M,"1,425,000.00","1,565,833.00"
Abraham,Romero,Columbus Crew,GK,"104,000.00","104,000.00"
Diego,Rossi,Columbus Crew,M,"2,725,000.00","3,426,827.00"
Jacen,Russell-Rowe,Columbus Crew,F,"120,000.00","127,389.00"
Cesar,Ruvalcaba,Columbus Crew,D,"80,622.00","80,622.00"
Patrick,Schulte,Columbus Crew,GK,"825,000.00","957,083.00"
Amar,Sejdić,Columbus Crew,M,"104,000.00","118,550.00"
Sean,Zawadzki,Columbus Crew,M,"400,000.00","446,875.00"
Conner,Antley,DC United,D,"104,000.00","105,667.00"
Dominique,Badji,DC United,F,"400,000.00","435,000.00"
Fidel,Barajas,DC United,F,"104,000.00","104,000.00"
Luis,Barraza,DC United,GK,"180,000.00","187,688.00"
Lucas,Bartlett,DC United,D,"450,000.00","510,625.00"
Christian,Benteke,DC United,F,"4,500,000.00","4,937,500.00"
Gabriel,Cordeiro Pirani,DC United,M,"725,000.00","791,700.00"
Derek,Dodson,DC United,D,"104,000.00","110,250.00"
Boris,Enow,DC United,M,"500,000.00","613,900.00"
Jordan,Farr,DC United,GK,"104,000.00","109,000.00"
Kristian,Fletcher,DC United,F,"150,000.00","169,509.00"
Aarón,Herrera,DC United,D,"825,000.00","920,220.00"
Jackson,Hopkins,DC United,M,"104,000.00","104,286.00"
Hakim,Karamoko,DC United,F,"80,622.00","80,622.00"
Hosei,Kijima,DC United,M,"80,622.00","80,622.00"
Joon-hong,Kim,DC United,GK,"354,000.00","427,000.00"
Randall,Leal,DC United,F,"1,150,000.00","1,265,000.00"
Lukas,MacNaughton,DC United,D,"120,000.00","122,100.00"
João Gabriel,Martins Peglow,DC United,F,"357,500.00","608,812.00"
Jacob,Murrell,DC United,F,"80,622.00","80,622.00"
Matti,Peltola,DC United,M,"750,000.00","826,000.00"
Kye,Rowles,DC United,D,"292,500.00","494,167.00"
David,Schnegg,DC United,D,"600,000.00","706,250.00"
Brandon,Servania,DC United,M,"104,000.00","131,056.00"
Jared,Stroud,DC United,F,"350,000.00","392,500.00"
Garrison,Tubbs,DC United,D,"104,000.00","104,000.00"
Gavin,Turner,DC United,M,"80,622.00","102,856.00"
Rida,Zouhir,DC United,M,"80,622.00","95,362.00"
Tah,Anunga,FC Cincinnati,M,"104,000.00","116,500.00"
Corey,Baird,FC Cincinnati,F,"676,534.00","744,241.00"
Álvaro,Barreal,FC Cincinnati,F,"755,000.00","917,238.00"
Pavel,Bucha,FC Cincinnati,M,"474,996.00","523,778.00"
Roman,Celentano,FC Cincinnati,GK,"425,000.00","474,000.00"
Stefan,Chirila,FC Cincinnati,F,"80,622.00","95,402.00"
Evander,da Silva Ferreira,FC Cincinnati,M,"3,200,000.00","4,736,411.00"
Kévin,Denkey,FC Cincinnati,F,"3,800,000.00","3,810,000.00"
Lukas,Engel,FC Cincinnati,D,"750,000.00","780,312.00"
Gilberto,Flores,FC Cincinnati,D,"364,992.00","411,664.00"
Teenage,Hadebe,FC Cincinnati,D,"960,000.00","1,110,000.00"
Nick,Hagglund,FC Cincinnati,D,"250,000.00","266,667.00"
Stiven,Jimenez,FC Cincinnati,M,"104,000.00","104,000.00"
Alec,Kann,FC Cincinnati,GK,"192,500.00","192,500.00"
Yuya,Kubo,FC Cincinnati,M,"750,000.00","821,667.00"
Evan,Louro,FC Cincinnati,GK,"104,000.00","109,000.00"
Matt,Miazga,FC Cincinnati,D,"1,575,000.00","1,575,000.00"
Obinna,Nwobodo,FC Cincinnati,M,"982,350.00","1,241,250.00"
Luca,Orellano,FC Cincinnati,F,"600,000.00","943,950.00"
Alvas,Powell,FC Cincinnati,D,"275,000.00","319,500.00"
Miles,Robinson,FC Cincinnati,D,"1,503,411.00","1,650,171.00"
Sergio,Santos,FC Cincinnati,F,"825,000.00","940,625.00"
Brad,Smith,FC Cincinnati,D,"104,000.00","114,000.00"
Gerardo,Valenzuela,FC Cincinnati,M,"104,000.00","121,542.00"
Paul,Walters,FC Cincinnati,GK,"104,000.00","111,967.00"
DeAndre,Yedlin,FC Cincinnati,D,"900,000.00","948,750.00"
Lalas,Abubakar,FC Dallas,D,"700,000.00","737,125.00"
Luciano,Acosta,FC Dallas,M,"3,040,000.00","4,296,413.00"
Leonardo,Alves Chú Franco,FC Dallas,F,"600,000.00","600,000.00"
Álvaro,Augusto,FC Dallas,D,"80,622.00","92,740.00"
Daniel,Baran,FC Dallas,F,"80,622.00","94,838.00"
Antonio,Carrera,FC Dallas,GK,"200,000.00","219,519.00"
Michael,Collodi,FC Dallas,GK,"80,622.00","93,047.00"
Manuel Luís,Da Silva Cafumana,FC Dallas,M,"462,000.00","504,350.00"
Kaick,da Silva Ferreira,FC Dallas,M,"150,000.00","201,900.00"
